text,category,priority
Waste disposal systems are absent in locality 142. to support ongoing recovery,Sanitation,MEDIUM
Infrastructure development is needed in zone 354. due to a critical situation,Infrastructure,HIGH
Families in region 349 lack stable income sources. following a severe disaster,Livelihood,HIGH
Area 86 lacks proper sanitation and toilet facilities. following a severe disaster,Sanitation,HIGH
Families in region 309 lack stable income sources. with people in urgent distress,Livelihood,HIGH
Open defecation is common in region 128. to prepare for upcoming needs,Sanitation,LOW
There has been a continuous problem with food services affecting daily life. Case 534 with people in urgent distress,Food,HIGH
Electricity supply is unreliable in region 293. for timely assistance,Infrastructure,MEDIUM
Village 198 requires installation of water supply systems. with people in urgent distress,Water,HIGH
Workers in locality 224 are struggling to find jobs. for future planning,Livelihood,LOW
Education related issue reported in area 397 requiring attention. as a general requirement,Education,LOW
People in area 127 need skill development opportunities. to help the affected community,Livelihood,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 114 for routine support,Shelter,LOW
Many families are impacted due to lack of proper health resources. Case 238 as lives are at immediate risk,Health,HIGH
Workers in locality 305 are struggling to find jobs. with people in urgent distress,Livelihood,HIGH
Residents report ongoing health problems making survival difficult. Case 987 to support ongoing recovery,Health,MEDIUM
Community 293 depends on contaminated water sources. with people in urgent distress,Water,HIGH
Bridges in area 304 require urgent repair. to help the affected community,Infrastructure,MEDIUM
Village 388 requires installation of water supply systems. as a general requirement,Water,LOW
Residents in area 376 walk long distances for water collection. to support ongoing recovery,Water,MEDIUM
Workers in locality 342 are struggling to find jobs. for timely assistance,Livelihood,MEDIUM
"Food is okay but children need snacks for school since last month, the whole neighborhood is struggling. to prepare for upcoming needs",Food,LOW
Community 178 is recovering from cyclone damage. to help the affected community,Disaster,MEDIUM
Livelihood support is required for households in zone 274. to support ongoing recovery,Livelihood,MEDIUM
Earthquake impact is severe in region 115. to help the affected community,Disaster,MEDIUM
Community 252 is recovering from cyclone damage. to prepare for upcoming needs,Disaster,LOW
Flooding has displaced families in area 147. to help the affected community,Disaster,MEDIUM
Health related issue reported in area 404 requiring attention. following a severe disaster,Health,HIGH
"kids not studying properly, very difficult situation with people in urgent distress",Education,HIGH
Unemployment is rising in community 300. for future planning,Livelihood,LOW
Residents report ongoing shelter problems making survival difficult. Case 517 as part of current needs,Shelter,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 802 as lives are at immediate risk,Health,HIGH
The situation regarding health has worsened significantly in recent days. Case 91 to help the affected community,Health,MEDIUM
"In the hill tribe area, general health improvement programs are missing since last month, disabled people are at risk. for routine support",Health,LOW
The situation regarding health has worsened significantly in recent days. Case 631 following a severe disaster,Health,HIGH
Open defecation is common in region 322. following a severe disaster,Sanitation,HIGH
"In the urban poor colony, severe malaria cases increasing for the past week, pregnant women need help without drugs. We really need help soon because pregnant women need help. with people in urgent distress",Health,HIGH
The situation regarding education has worsened significantly in recent days. Case 388 for future planning,Education,LOW
Workers in locality 122 are struggling to find jobs. as lives are at immediate risk,Livelihood,HIGH
There has been a continuous problem with food services affecting daily life. Case 226 for timely assistance,Food,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 273 as part of current needs,Shelter,MEDIUM
Residents in area 287 walk long distances for water collection. for timely assistance,Water,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 337 with people in urgent distress,Health,HIGH
Relief support is needed after disaster in locality 166. to prepare for upcoming needs,Disaster,LOW
Workers in locality 40 are struggling to find jobs. for future planning,Livelihood,LOW
Community 174 is recovering from cyclone damage. as a general requirement,Disaster,LOW
Village 14 requires installation of water supply systems. for future planning,Water,LOW
Public transport is unavailable in locality 108. following a severe disaster,Infrastructure,HIGH
Many families are impacted due to lack of proper shelter resources. Case 327 for routine support,Shelter,LOW
Unemployment is rising in community 30. as lives are at immediate risk,Livelihood,HIGH
The situation regarding health has worsened significantly in recent days. Case 549 due to a critical situation,Health,HIGH
Workers in locality 292 are struggling to find jobs. as a general requirement,Livelihood,LOW
"In my locality, the ration shop is closed and we are starving following the flood, please send help as children are suffering badly. as lives are at immediate risk",Food,HIGH
Many families are impacted due to lack of proper food resources. Case 915 as lives are at immediate risk,Food,HIGH
"ration finished early this month, needs improvement for future planning",Food,LOW
Bridges in area 400 require urgent repair. as lives are at immediate risk,Infrastructure,HIGH
Water scarcity is affecting daily life in region 126. for future planning,Water,LOW
Waste disposal systems are absent in locality 307. with people in urgent distress,Sanitation,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 733 to support ongoing recovery,Education,MEDIUM
